,IdPu,NotaPu,IdAs
0,0408f80f305443cab89a6075cfea792b,931,bf7cb081151140c4aef3417b5f464778
1,a0b6cbbd8eea40b186109e8964cb214e,626,eaca51db3b804d4f9f487c9e77f0d674
2,3401c3d9a01f44069bf6d9f75f63276d,469,0f8a51730e6d40d0a175113d8095c822
3,c404010ee2d9422983fa4b314df7dc96,644,1e86fc8fe80f4e0bad3111b75ac44141
4,b801f7e30ac14b42a22756aac7962bdf,715,45f28325b9d44b8baa1f73c94ce951ca
5,6ca6f084c3214f8eba9980a0386f99b3,810,0f5307fce69e42c1be88cbba2bef081e
6,aa4b4c34979b454395b55093d7377651,938,e3dd78b1516645ccb809f03f0ca12c6e
7,2c19415c0cf3465bacc2f261aa26f9e7,987,87bdca9d21a24e3aa7c6eed5bc3d4fa3
8,f4b7640d365c48619d6b65d5ba6c98d6,975,ffa8af6793794dc6b1ee728b6b104789
9,87c2749ed40a40069c5954c8ce4e4711,755,1d5fbee7be3b41038eae01ae03844361
10,6b1ecbbd86ba4d6e9266329e9888a0f2,414,2c0491a0dc664ee686b7939d99c0b104
11,fef149da094b41c781c1e998acf2c729,635,2eec791431fb4cd282740c4724854a9e
12,7d7da01ff542457b9fa0794f48c54ebd,556,bdbe00ba6bb74e38be315f1ef23b267d
13,93af0338b330446aa410aa9d0f6f6011,830,72043a0d488642418c609492ecd35bef
14,bb7f1af96cc4430299c252cd815abeb8,444,a6ad461fecad49c3ac5853bb46e0b429
15,552afe499d904b1185e72288e3c73887,986,84df983ba616403d8989e124ab8c2cec
16,f28c17d8064a452ebdea9a37d92bc93e,876,a4b2592906064c01a26bd69f779842fa
17,4540553d67ea4599be6e93b9fc4ae208,503,a46da942baa243cebe6b07e753aec929
18,615960e2eeb04994bd9b3ccf06585405,738,32c259ef24fb4ef0bb64480e8f898f32
19,ef29345e8df34495956dad786115c1be,904,8ee91cfd83984c85a7c65d03087e6790
20,435737464b5241dcb8922e512125e804,551,2843644b16134ec891152e8be9ff653b
21,fe84838a2e754b89bb15a5bac3d01c1f,536,6b5f0000c7b34d6daae7d243845c607f
22,d53792441eaf45878fcc0f02c9c6bdee,764,6e7aa484a8c0454abfdd86165edc48e2
23,8b9b83ac429f4e9699245ef7d19b0942,771,cacc0bc9d7e948a3b9279db4c8893a38
24,d022995a3e3e4153a6ebfc2eea371890,722,c02b50361c654884a5826dcf4c147a55
25,0dfafbe6c5f64ea6867ff50522730706,889,c4ed88cf79154ed0aef8a44620beb721
