,IdUn,NombreUn,TelefonoUn,CorreoUn,DescripcionUn,StatusUn
0,6546667a0470462cab8799d03566c863,Universidad Jason Green,4544628848,universidad.jason@edu.ec,FQ6c5DfoyOnTTon5Y1e2,Activo
1,962ae70de9874d3b99ae3e4938813330,Universidad Joel Smith,2286260635,universidad.joel@edu.ec,NGztSKRJFk1yPGCbztOX,Activo
2,621e8e822e0e406e8cd2beb202a58a7a,Universidad Edwin Ross,1951714874,universidad.edwin@edu.ec,DtqY5MUBBJsBQrISFEs8,Activo
3,4021346be43140269baf9a0d7965bb10,Universidad Natalie Smith,3056911822,universidad.natalie@edu.ec,7vVpOdeW5lsySHa57mrM,Desactivo
4,ad23b21a258c4a9d93ba5e6666e903eb,Universidad Matthew Lindsey,7822683219,universidad_matthew@edu.ec,3afreesjxzxBk0d47Iwf,Activo
5,b501445fd4c14fc09270971f905c33df,Universidad Daniel Dillon,1752658375,universidad_daniel@edu.ec,J0mJfxAIDFdRQjynI0pZ,Activo
6,dbec858566794e1da810f5f446468632,Universidad Robert Hernandez,9148927822,universidad.robert@edu.ec,t5vKdJmVZ3rhWx1vmnIk,Desactivo
7,f961e21971204764bd2dd9b11846c3f6,Universidad Colleen Thomas,4903652899,universidad.colleen@edu.ec,rS9DLhVwRdc0ER29StTy,Desactivo
8,1c55a36eb22b4a8e8e67dbe682af8223,Universidad Carla Ware,4190434184,universidad_carla@edu.ec,cIY6nSsF6GBYmq2G1iFj,Desactivo
9,3f9c1ab6308b4442bcee7c36b60bb494,Universidad Alisha Richardson,0829080259,universidad_alisha@edu.ec,gBOiBQ4cbn9nGu2WVgu6,Activo
10,7434ab9a4b47494984c86a00fa39d11b,Universidad Sergio Choi,7247612095,universidad_sergio@edu.ec,EoAofV6eD7TSngoYiYTq,Activo
11,f4e44f249af34540b9d8b538d6965f13,Universidad Timothy Lee,8080626143,universidad_timothy@edu.ec,1ipUQeOGlvUQYgSAxBak,Activo
12,30546335040f4742a1c0cf872ba80a01,Universidad Dr. James Duncan,7239898304,universidad_dr.@edu.ec,mlsXiNDCU9rR0jAbpLmk,Activo
13,0eaaab1f70374325987fe757d4462df1,Universidad Tom Nelson,2474125827,universidad.tom@edu.ec,PnlXOjYZHVYoGXW8LwZG,Desactivo
14,a4bd08dd6b4c4b9885384e020dcfa65a,Universidad Laura Johnston,3413410950,universidad.laura@edu.ec,514fmFkQ7nTfI7gmSYTg,Activo
15,85a61a8e285042a79568e818239b6f93,Universidad Jesse Howard,7121281253,universidad.jesse@edu.ec,2nh6e4w7B7sfil5nQvbd,Activo
16,a1a5666aedea47449e08d09f533ee4a7,Universidad Cameron Holder,4323586908,universidad_cameron@edu.ec,JgaNn0iOGCUjsv8aZhrb,Activo
17,4e3f9023d6264fc7aca6ce25baf02c28,Universidad David Murray,3862936871,universidad.david@edu.ec,zuwa5cePHvXHTgtO2kM3,Activo
18,97a4a60ce7d14866b9de9416cd07a561,Universidad Steven Taylor,6672924521,universidad.steven@edu.ec,JSkxJVs1dYzJQjFlbQTb,Desactivo
19,4a99d70926624dcea0e4e788dd42ab58,Universidad Michael Bryant,7399446453,universidad_michael@edu.ec,OJT5MHH9VLuICEpGVCN3,Activo
20,a5c0ee2f13304ed0bb57d4af5b86d7a4,Universidad Joshua Taylor,3864310329,universidad.joshua@edu.ec,DVHIZrTBT1DHpG7DPEn5,Activo
21,2411109189ce4d5a9979786494fad809,Universidad Daniel Brown,8913887973,universidad.daniel@edu.ec,xc6mFrstvOHNJjjD6NQR,Activo
22,3b88262abb3948e095a2646e4f297076,Universidad Scott Hall,0443199992,universidad_scott@edu.ec,Q7H8aj5tWH0a3Ynuuudd,Activo
23,315a36c8f9ea42a2a8a3cb5719a2e410,Universidad George Schwartz,1655234503,universidad_george@edu.ec,3E46RTMQwMAo1aniJhr5,Activo
24,c083be2994854a28bc2a53a6d2254d20,Universidad Mary Barker,0320093005,universidad.mary@edu.ec,QazQzI3TN8BGSBvACegJ,Activo
25,039cd8a838604afd90d5f5e879bfe0b6,Universidad Mitchell Jones,7050843182,universidad.mitchell@edu.ec,nK6uxz9UdItiQyk5FiMP,Activo
26,ed65c58abbfd4539a1757e93768e1190,Universidad Danny Anderson,7398854749,universidad.danny@edu.ec,QMkspZflBi9MWWGo9vwU,Desactivo
27,cc09578386c6496c87c2202c04e203bc,Universidad Elizabeth Stewart,0887008560,universidad.elizabeth@edu.ec,4MfBMHF3bh7j7d51Jale,Activo
28,3fe8f18a2f0d4c1fad96045563e2e4f0,Universidad Raymond Torres,4533864648,universidad_raymond@edu.ec,f7n8YdcUuxP7Ik81g2U5,Activo
29,8217517a79b043ac9015e8ca2dc20874,Universidad Brittany Harrison,9412081197,universidad_brittany@edu.ec,MQ2QRNKtHyfbkIpAc09B,Activo
30,b50022cb03014b3784a915094fb67fb0,Universidad Jesse Joseph,0313407772,universidad.jesse37@edu.ec,3ZHb04OI2GBCUb3BxCrQ,Activo
31,d70dc6fe093541398a412cdd2842bf51,Universidad Mr. Brett Livingston,2687340542,universidad.mr.@edu.ec,MCML8DxedAIphUPnJyAB,Activo
32,e546cf452d9046ce966259bd2e348512,Universidad Dr. Sabrina Evans,6465684907,universidad.dr.@edu.ec,XbRT0NsKplMSA37MBTch,Desactivo
33,9c751a907c574c3999400a9d9843442f,Universidad Jacob Edwards,1910218959,universidad.jacob@edu.ec,YGPzbwdFHMeAXn0lhJVx,Desactivo
34,ae7e074843c64fc88c90addeda2bca37,Universidad Richard Sweeney,4357826583,universidad_richard@edu.ec,F35xrCDmeWuK2St6ET54,Activo
35,9f8e5a70c85742d2a17656ccfa016d3b,Universidad Andrea Rodriguez,9627286404,universidad.andrea@edu.ec,ZYefUHZ1NfOkVyLK3wDi,Desactivo
36,12ef678991f849379684b3ebca2e1b69,Universidad Kayla Jones,1819072857,universidad.kayla@edu.ec,8FWUqlZSXA13yjUGH1eG,Activo
37,2c23015b3c8643e88afc2e1a2e0df6f3,Universidad Robert Wilson,5215607384,universidad_robert@edu.ec,oEKJRrS5Dzas3B3pCGAK,Desactivo
38,707de50700834e65ba63940f793cf21e,Universidad Sarah Hamilton,5993721924,universidad_sarah@edu.ec,HyeVCU37QIYi2wkPXmFL,Activo
39,8bf27be00c074bb69ae9b8ef082705a5,Universidad Jeffrey Mendoza,1659874934,universidad_jeffrey@edu.ec,ZdxzS1vlTu2NeRQc4mc0,Activo
40,08a4d257b77d45729d310099eb28e6c2,Universidad Zachary Jones,3757526112,universidad.zachary@edu.ec,el8Bku0gDMtvinI4zj4I,Desactivo
41,ae867eb48304463f9ecee9de152c3b42,Universidad Ashley Armstrong,9606195838,universidad.ashley@edu.ec,BatTFTnbP0hxusz7wJ4F,Activo
42,a19ea91b9b90437699d76c6a7362d7de,Universidad Eric Mays,5726713408,universidad_eric@edu.ec,h5wSfhZR5HYUL6T84jCd,Activo
43,dd840a59a8aa4131b77e358f6892db49,Universidad Ralph Torres,4429908253,universidad_ralph@edu.ec,Nlg9VqvGKlnNTmgqYmm6,Desactivo
44,38cd6c208bf04a7b9313325ca55e3010,Universidad Richard Cruz,9535357062,universidad.richard@edu.ec,MHAq3Cqmy94NdShSokVW,Desactivo
45,30b68e6812fe4b0db49b0ba0d613b7fc,Universidad Heather Moore,7911756003,universidad.heather@edu.ec,F3bnCrGJa5agEAoUmB98,Activo
46,d23f7303bc544ffa8ee0642df89c055d,Universidad Gregory Owen,7589146607,universidad.gregory@edu.ec,joKVoeUKl3cIZlHn9cjf,Activo
47,bff0c18b414b47d296d79bc90289de76,Universidad Christopher Pearson,7817944817,universidad_christopher@edu.ec,Fot4nPBJ7CENznkks67A,Activo
48,d7164be26e1c4e7ba59c6b3a85602afe,Universidad Andrew Phillips,9447537699,universidad_andrew@edu.ec,Z3MakZu3dhrElrHp0xN4,Activo
49,e22156ffee22418db2e15e44cedd34d0,Universidad Karen Brock,1855893681,universidad_karen@edu.ec,cVBrGwceSzix5zwch8tg,Activo
50,82aebf724420411ebc65da186f04ab35,Universidad Gail Nicholson,7066696645,universidad_gail@edu.ec,foQCCoS0FePDPRwsLM2X,Activo
51,b8dcba1724534245a8aa4cf1658a1964,Universidad Hannah Ortiz,5915791848,universidad.hannah@edu.ec,uQsfvPWKet1qkq4tVtYn,Activo
52,0d3e557680314bfdbef6bee4aa9a147b,Universidad Linda Hall,5028420420,universidad_linda@edu.ec,YLM4GbJNMyXqzdTSxBFU,Desactivo
53,0daedaa5c376486097878987d008cc7e,Universidad Deborah Morales,1165998858,universidad.deborah@edu.ec,oLEVMIWuHTRWEfsuAa2O,Activo
54,0e1ca05a3d6b45dea6c19016012c8c82,Universidad Annette Hanson,4183248798,universidad_annette@edu.ec,yYSAKzTTgOaKKwLCQrFR,Desactivo
55,51d1aedc0d7c41c6accb541fd01414f8,Universidad Larry Chen,1373599660,universidad_larry@edu.ec,BtOcCExzyJneNPCWGsun,Activo
56,422ba1a898704134be08a4abc0d6df24,Universidad Mrs. Mary Vincent,0289401314,universidad.mrs.@edu.ec,fLV497XKnrJGtP9wTlhj,Activo
57,b2e6374604ee4cfba915a5eb28032bc6,Universidad John Beard,1662691715,universidad.john@edu.ec,WqLB44ibWsy3Izqljf0e,Activo
58,7f9d9963604c498b86a0cb9db0839022,Universidad Dominique Jones,9685084008,universidad.dominique@edu.ec,tZ8qF8OLcZGyKoWOUzcW,Activo
59,c51ac23d1f1845239085973e750cbb2e,Universidad Nicole Villa,3706279632,universidad_nicole@edu.ec,k30pUJX4r4EQD2QunZAh,Desactivo
60,bf97456c1fb7434a886e579ce53a93c2,Universidad James Chavez,8878941612,universidad_james@edu.ec,kxeeg0qT9NgweYwYdyWd,Activo
61,b4f5960ab6714c66bca95cb19ce4342b,Universidad James Vaughan,9306646689,universidad.james@edu.ec,9cSyw2RrRxBTQFjjyt5q,Desactivo
62,54b4b9bd4e04402bb307253b62021f68,Universidad Miss Brittany Mcbride,5927026761,universidad_miss@edu.ec,4ADmbV8zpm6zVoE7kpw4,Activo
63,d809db0507ff43bdbb3e2ec3fe80a663,Universidad Claudia Thompson,1937174341,universidad.claudia@edu.ec,FefOhioWapS2IRbRL8D3,Activo
64,0aad7214587c486c8485e502d78a3904,Universidad Willie Quinn,1919075877,universidad.willie@edu.ec,iWXVjY1l9CfS0qgpMygR,Desactivo
65,c9fd96a2f2ae44ada8353b601cc23cf3,Universidad Eric Roberts,9620605262,universidad_eric94@edu.ec,7yF24WnGcoLbnOxNQsEQ,Activo
66,8a46d09213884fcfb18fc8232e6ee7ba,Universidad Robert Patterson,3961296461,universidad.robert80@edu.ec,2L7hrm6CVklEmb0gYDDu,Activo
67,3c871dd3cbf24035a0077df18e475fb2,Universidad Carol Potts,6327526958,universidad_carol@edu.ec,ieJctMpeb9lNU1iGmllR,Desactivo
68,deb80896376b421f94e876cbd4efb790,Universidad Sara Gregory,3299300798,universidad.sara@edu.ec,xcitjIdqKnJS2Ygy9pKu,Desactivo
69,dd98c85d0e8c4762ab83df46451ea033,Universidad Daniel Kim,9141490846,universidad.daniel90@edu.ec,IMK6fS0SItTftMY4HIUQ,Activo
70,d62e60491b0b48ab91b947f27a391b42,Universidad Aaron Garcia MD,1962138326,universidad_aaron@edu.ec,eqmpj0Utd2Umz3lwnbdx,Activo
71,7f60623a5de1488eb9b6b0672ea66ede,Universidad Keith Daniels,9084321004,universidad.keith@edu.ec,bW0RTqaHvicGF20stItH,Activo
72,21b0408e855044ea80c6fa8abb072ad0,Universidad Todd Johnston,6322671211,universidad_todd@edu.ec,XfX2GklFj7hzTP6OGLFm,Activo
73,ee0e181278bd4db7a92faaf44ccad89a,Universidad Jonathan Miller,6862028900,universidad_jonathan@edu.ec,ElA6uiG843v4H6qOkvrb,Desactivo
