,IdUn,NombreUn,TelefonoUn,CorreoUn,DescripcionUn,StatusUn
0,68d127a202ef4d6fae31a2cfe1e07a4d,Universidad Barry Johnson,8555606162,universidad.barry@edu.ec,1jVa44AIYW1IRcBKgYnP,Desactivo
1,cfde8d7ef70944d29a14a6621516f3d4,Universidad James Soto,6479512951,universidad_james@edu.ec,3GFUxYruyLIUDrZOhW6e,Desactivo
2,6b0de97cab6e41a1a7cdcc892aed67a2,Universidad Samantha Torres,7407704151,universidad_samantha@edu.ec,jhgvXvjU5SDI3Xbg5UMw,Activo
3,0de59f8d95da403a8d6b6de251f41892,Universidad Madison Rodriguez,0572332355,universidad.madison@edu.ec,Z1Id7qczq5whoPj1lvgN,Activo
4,644d3811cd054f8da2601b5427c8d10b,Universidad Steven Henry,1723369943,universidad.steven@edu.ec,vqFJGpLpSYmCr5VWg2ze,Activo
5,897055fcb85c4498a5b31166b930a971,Universidad Norma Clark,0507397391,universidad.norma@edu.ec,SflEQXP9Hqa97SgIuAsz,Activo
6,6e1f32040c194762a76f631fbe94bfea,Universidad Manuel Hernandez,0671730788,universidad_manuel@edu.ec,ESrbCP6mWC8nHMzyGehD,Desactivo
7,389c41ad6bd7493d9bcc879137d756d1,Universidad Mr. Dean Chen,3186723896,universidad.mr.@edu.ec,leuT0BarME75YM4QLs9Y,Desactivo
8,51611d4a09074a7ea37719066af16192,Universidad James Jenkins,7138025055,universidad.james@edu.ec,j78rNTZPGI2BLc38ybxg,Activo
9,f0d09611441f4397ad910d507b26cdd6,Universidad Vincent Smith,6131752235,universidad.vincent@edu.ec,au0pGAvJp5LUcU0go0FK,Activo
10,27020f61ee7e42b9921117920e30c26d,Universidad Meghan Dennis,5642570881,universidad.meghan@edu.ec,XxpThh4rI1G93RpP3M1e,Activo
11,ec66f24eb0ae48e2a816b444b6310b36,Universidad Taylor Tran,5769909994,universidad.taylor@edu.ec,5w1GRNmnl4Nj7Y6iev68,Activo
12,29f0985556a5474e9bda4983d5e79280,Universidad David Beck,1250237915,universidad.david@edu.ec,oSGMRE96PHDlUYajT92s,Activo
13,ec1668c364984bd883778f022d85e7e2,Universidad Reginald Krueger,9021811231,universidad_reginald@edu.ec,vKWY3eVoQ9Xd1ixG5P17,Desactivo
14,761593e26b784da38a909417ad50605b,Universidad Benjamin Parker,7786584399,universidad.benjamin@edu.ec,nLIJ07mrUIxwb137LRy5,Desactivo
15,94f7660e5fe4402282e5c063fec09133,Universidad Olivia Stanton,5283624208,universidad_olivia@edu.ec,NFCQFdlVUqZQ0On2XHGY,Desactivo
16,57427bc52d1e4525a1977dcf67d1bee3,Universidad Carl Campbell,0345170826,universidad_carl@edu.ec,YCwFbWvnToeEas6c56E3,Activo
17,e31f98a66fd14a0cb5fe016241c754fd,Universidad Stanley Mclean,9024967001,universidad_stanley@edu.ec,dDOGw2VSXBq564kr6QrW,Desactivo
18,ff1fa9e8559445b6a12990b6436eebea,Universidad Michael Miles,7750700481,universidad.michael@edu.ec,ytHpW3P2jSVYmdwPqCf4,Activo
19,a8670b58ed064c05bf3ca88a6b9979eb,Universidad Sarah Martinez,0472452467,universidad.sarah@edu.ec,UPI7e0pI5uWkiSttx6Y9,Activo
20,9e8af91ed2424e30918ffed1d7c5b7a6,Universidad Stephanie Randolph,8249467702,universidad.stephanie@edu.ec,M3W5MyZ0VrVFg9Ss897a,Desactivo
21,92b0dccaad284f3ba85f2c1f66429004,Universidad Travis Wright,7352347933,universidad_travis@edu.ec,PwBQcP8hWpXkr7CSkgvR,Desactivo
22,cb8f60926674402cb19626df34bcdd37,Universidad Dalton Johnson,9812394406,universidad.dalton@edu.ec,qZVt9k6qWvfjAV31YtfW,Activo
23,4961f363d4ad4ec386f5f0b004d05cf1,Universidad Crystal Parker,3243013832,universidad_crystal@edu.ec,InAWjU9VsvfhI7W3GiO6,Activo
24,7042fe12522c4475a8199290a9efbef2,Universidad Jason Atkins,6610215545,universidad_jason@edu.ec,0i32Ah1VweTzajlO5KLu,Activo
25,acc807642f07488a8c82ba262139a80e,Universidad Charles Phillips,6152140275,universidad_charles@edu.ec,GaZPhE6Eh1AZ0V8eVLiB,Activo
26,6ca00d0954a048e08ba95e37130269fa,Universidad Todd Callahan,5955629240,universidad_todd@edu.ec,Mukxl8HghRlVbHBSgqcU,Activo
27,85157f1bd3fa432e87c8a4b9b5921f0d,Universidad James Bailey,6112906648,universidad_james56@edu.ec,tlZfdJa3bToQPWVhLnN5,Desactivo
28,05eaf8fd0f434f8689e042dc1cb98a4b,Universidad Jennifer Parker,1811146946,universidad_jennifer@edu.ec,0gmYro7uinsPJWfcx36p,Activo
29,9650526b38e140059102fec4c7009dae,Universidad Amy Hernandez,5596115833,universidad_amy@edu.ec,cxW8c97PvCV214qaOY4b,Activo
30,6b820577b92a4f8486aa057168472b68,Universidad Dawn Mcintosh,3576255588,universidad.dawn@edu.ec,pFDKlvNl5H1ZmF4Zs80J,Activo
31,fd841f22077d46ee8634193ee717b2b0,Universidad Melissa Koch,3213230253,universidad.melissa@edu.ec,3QHRxqkC2XxUA26pdWHG,Activo
32,6917739bfccd4ddb8ac1281b10c183e5,Universidad Richard Ruiz,8820603671,universidad.richard@edu.ec,hOa2vRbONcfBwKIJo0RD,Activo
33,11b779ebb86044d69700e5aa947265ba,Universidad Charles Hawkins,3810847402,universidad.charles7@edu.ec,haGSMRnRliGCdPLcEt2r,Activo
34,6f9f2c8cd4ae41218cf56e80b0edeb5e,Universidad Bryan Davis,8767542005,universidad.bryan@edu.ec,54kugFI3ZtE4hJV718Ox,Desactivo
35,d0263aa19c1d4994b020f896e6f3665d,Universidad Mark Hopkins,1011204359,universidad_mark@edu.ec,NcnSwYRnmWNn8imVrTmy,Desactivo
